poi_name,poi_type,poi_subtype,poi_lat,poi_long,location_poi_dwid,town
44089 (bus stop),transportation,bus stop,1.37648110277471,103.740945323146,a9dc60f23f7451abf0f42f17862d721d,choa chu kang
44561 (bus stop),transportation,bus stop,1.37798702256039,103.741200488186,a0bd913774f595ae0919bf4e908e139e,choa chu kang
44569 (bus stop),transportation,bus stop,1.378119968,103.7412214,7337117978dbe35eb5015bec8989a454,choa chu kang
44529 (bus stop),transportation,bus stop,1.38057038161035,103.741769557019,8ec034039b7a843083a75423262f5152,choa chu kang
44491 (bus stop),transportation,bus stop,1.38353368649754,103.741845976622,4242896dc457ed8de2da571d58664e99,choa chu kang
45311 (bus stop),transportation,bus stop,1.39312896106935,103.742089086377,ab52a6283e6b7b32b6316f5eefd18f40,choa chu kang
45319 (bus stop),transportation,bus stop,1.39292754317476,103.742107699829,63037f4471ae801365123b8c47cc15ac,choa chu kang
44521 (bus stop),transportation,bus stop,1.38085185530437,103.742608869559,0d0eda22cdbfe859a7b4810dea4cc65b,choa chu kang
44189 (bus stop),transportation,bus stop,1.37436129728965,103.742722352282,595e36bea877d2c964b13f93d9fb9021,choa chu kang
44181 (bus stop),transportation,bus stop,1.37451449967134,103.742731114305,dad8a74440169c1c8664283c2723191b,choa chu kang
ntuc fairprice co-operative ltd,market,,1.3920738867617,103.743099573442,7c2ce033462c29fff6dbecc6c9790587,choa chu kang
45461 (bus stop),transportation,bus stop,1.392677238,103.743306,aff8490fbabe096a798f85a9ae32e4bc,choa chu kang
44579 (bus stop),transportation,bus stop,1.3785061127578,103.743452561072,5e27c920e17351a55906c30632698ddf,choa chu kang
45261 (bus stop),transportation,bus stop,1.39431509144899,103.74355703816,d89069421cfeafa9f6877fef571277a3,choa chu kang
45269 (bus stop),transportation,bus stop,1.39436168081088,103.743731024648,cb6954852ac9f11180ef5118487e7cee,choa chu kang
44091 (bus stop),transportation,bus stop,1.37647222715537,103.744216114877,8266429da89bc52a3fec9836586b0117,choa chu kang
choa chu kang mrt station (ns4),transportation,mrt station,1.38536316540227,103.744370779756,10b80e8918431d5609959d63bc738dee,choa chu kang
prime supermarket (1996) pte ltd,market,,1.37743962648904,103.744383226772,8cbb503ee2b6455417e62b8e913c9225,choa chu kang
44531 (bus stop),transportation,bus stop,1.384254052845,103.744536248585,a862068985a52b3fb3f40e5dc586e958,choa chu kang
44099 (bus stop),transportation,bus stop,1.37631844004166,103.744629478891,9c4cc6ccf4a9e1a13c26685607851411,choa chu kang
44481 (bus stop),transportation,bus stop,1.38184295668784,103.744958543071,645b397571dd5d53763763271accba34,choa chu kang
44539 (bus stop),transportation,bus stop,1.38463078344259,103.745023879526,0e57cc791059c3ef6ec058e1b70e34d0,choa chu kang
ntuc fairprice co-operative ltd,market,,1.38511154955356,103.745036167764,4777313a957ce5354aa26feeb0f6d867,choa chu kang
45299 (bus stop),transportation,bus stop,1.39144722825355,103.745154699054,82797aeeebb2301b18828456ebaa43eb,choa chu kang
45271 (bus stop),transportation,bus stop,1.39569595453054,103.745264437449,700ac04b66c92992709e357d89b50da0,choa chu kang
44489 (bus stop),transportation,bus stop,1.38182529975338,103.745307688198,510009720123058ae11a54d682d06486,choa chu kang
45279 (bus stop),transportation,bus stop,1.39565860013617,103.745408710741,e5c09047928a06b225634b85a4fe8616,choa chu kang
45341 (bus stop),transportation,bus stop,1.397351292,103.7454191,a1b91572e1b08aca44e1af8786aa62d2,choa chu kang
45349 (bus stop),transportation,bus stop,1.39731214153469,103.74554806071,d9a7a15aa52a2a1359ccf149c069619e,choa chu kang
44009 (bus stop),transportation,bus stop,1.3858689779037,103.745788959253,da0b3110fae1ddd8cbfb705ad1a0bcd7,choa chu kang
45409 (bus stop),transportation,bus stop,1.40151660587319,103.745830907003,4288d89f335ec84cdd26794ee94cd22d,choa chu kang
44541 (bus stop),transportation,bus stop,1.38764444393284,103.745935277913,86aa83888ad925c7d8ca20f1238d956a,choa chu kang
45401 (bus stop),transportation,bus stop,1.40279972623122,103.745942668131,3ac834fcab51001dc7317b55ac490616,choa chu kang
45339 (bus stop),transportation,bus stop,1.39898191352639,103.746035558755,91bdcc973d902fc1e384a692401481ad,choa chu kang
44549 (bus stop),transportation,bus stop,1.38748720582004,103.746189135892,b69203584eacbbc57793b050d943513f,choa chu kang
45479 (bus stop),transportation,bus stop,1.394295086,103.7465204,b8d942ec71154e4ed6ceb3f87fc6dbb1,choa chu kang
ntuc fairprice co-operative ltd,market,,1.39708432396576,103.746598000147,23ac4bd659ac000c46dee573df2afba9,choa chu kang
45301 (bus stop),transportation,bus stop,1.39184565454401,103.746635141653,3768152dda93cb19f06986c54710ad20,choa chu kang
45309 (bus stop),transportation,bus stop,1.39199804963182,103.746650220173,a11a743ce137f2d74d2de6889ba5c8d6,choa chu kang
44871 (bus stop),transportation,bus stop,1.37415475885735,103.746797138324,ba529c4c50b30c2b0dff68d1d6479219,choa chu kang
44101 (bus stop),transportation,bus stop,1.37715950047113,103.746830707679,d51323122a52ef3032b8adf4f6633c57,choa chu kang
44879 (bus stop),transportation,bus stop,1.37431656227798,103.747011289838,19dc35a516ca01a12560788aab9e934e,choa chu kang
45331 (bus stop),transportation,bus stop,1.39884898673943,103.747039912057,2ed60ced4364b93b6f4a9c0a98aafbd3,choa chu kang
45389 (bus stop),transportation,bus stop,1.40063804352721,103.747381764626,081cc7a47cb93ec6e1d49fa22de2b471,choa chu kang
yew tee mrt station (ns5),transportation,mrt station,1.397535018,103.7474051,3687a6065a1d3d51277076443e2c7a5f,choa chu kang
